sehir,tip,isim,latitude,longitude
Istanbul,itfaiye,Beşiktaş İtfaiye Grubu,41.0455,29.0065
Istanbul,itfaiye,Kadıköy İtfaiye Grubu,40.9901,29.0279
Istanbul,itfaiye,Fatih İtfaiye Grubu,41.0115,28.9554
Istanbul,itfaiye,Silivri İtfaiye Grubu,41.0740,28.2470
Istanbul,itfaiye,Pendik İtfaiye Grubu,40.8900,29.2300
Istanbul,itfaiye,Sarıyer İtfaiye Grubu,41.1680,29.0500
Istanbul,itfaiye,Büyükçekmece İtfaiye Grubu,41.0180,28.5800
Istanbul,itfaiye,Çatalca İtfaiye Grubu,41.1450,28.4600
Istanbul,itfaiye,Şile İtfaiye Grubu,41.1750,29.6100
Istanbul,itfaiye,Arnavutköy İtfaiye İstasyonu,41.1850,28.7400
Istanbul,su_kaynagi,Alibeyköy Barajı,41.0833,28.9500
Istanbul,su_kaynagi,Terkos Gölü,41.3167,28.6000
Istanbul,su_kaynagi,Ömerli Barajı,41.0700,29.3500
Istanbul,su_kaynagi,Silivri Sahil (Deniz),41.0700,28.2500
Istanbul,su_kaynagi,Aydos Göleti,40.9500,29.2200
Istanbul,su_kaynagi,Belgrad Ormanı (Neşet Suyu),41.1300,28.9800
Istanbul,su_kaynagi,Büyükçekmece Gölü,41.0500,28.6000
Istanbul,su_kaynagi,Sazlıdere Barajı,41.1500,28.6900
Istanbul,su_kaynagi,Şile Sahil (Deniz),41.1780,29.6130
Ankara,itfaiye,Ankara Merkez (İskitler) İtfaiye,39.9450,32.8351
Ankara,itfaiye,Çankaya İtfaiye İstasyonu,39.9070,32.8600
Ankara,itfaiye,Keçiören İtfaiye İstasyonu,39.9700,32.8700
Ankara,itfaiye,Sincan İtfaiye İstasyonu,39.9750,32.5800
Ankara,itfaiye,Polatlı İtfaiye Grubu,39.5800,32.1400
Ankara,itfaiye,Gölbaşı İtfaiye İstasyonu,39.7800,32.8000
Ankara,itfaiye,Beypazarı İtfaiye Grubu,40.1650,31.9200
Ankara,itfaiye,Nallıhan İtfaiye İstasyonu,40.2350,31.3200
Ankara,su_kaynagi,Mogan Gölü,39.7750,32.7833
Ankara,su_kaynagi,Eymir Gölü,39.8500,32.8700
Ankara,su_kaynagi,Çubuk-1 Barajı,39.9950,32.8850
Ankara,su_kaynagi,Sakarya Nehri (Polatlı),39.5700,32.1500
Ankara,su_kaynagi,Kurtboğazı Barajı,40.2300,32.7000
Ankara,su_kaynagi,Sarıyar Barajı (Nallıhan),40.0400,31.5700
Ankara,su_kaynagi,Hirfanlı Baraj Gölü (Şereflikoçhisar yakını),39.1500,33.5000
Izmir,itfaiye,İzmir Merkez (Konak) İtfaiye,38.4180,27.1350
Izmir,itfaiye,Bornova İtfaiye Grubu,38.4650,27.2180
Izmir,itfaiye,Karşıyaka İtfaiye Grubu,38.4570,27.1000
Izmir,itfaiye,Çeşme İtfaiye Grubu,38.3230,26.3050
Izmir,itfaiye,Bergama İtfaiye Grubu,39.1200,27.1800
Izmir,itfaiye,Urla İtfaiye İstasyonu,38.3200,26.7600
Izmir,itfaiye,Torbalı İtfaiye İstasyonu,38.1600,27.3600
Izmir,itfaiye,Ödemiş İtfaiye Grubu,38.2270,27.9700
Izmir,itfaiye,Seferihisar İtfaiye Grubu,38.1950,26.8400
Izmir,itfaiye,Foça İtfaiye İstasyonu,38.6700,26.7500
Izmir,su_kaynagi,İzmir Limanı (Deniz),38.4450,27.1650
Izmir,su_kaynagi,Balçova Barajı,38.3850,27.0500
Izmir,su_kaynagi,Tahtalı Barajı,38.2000,27.1500
Izmir,su_kaynagi,Çeşme Marina (Deniz),38.3250,26.3000
